filename,ssim,psnr,status
EES0423311__X12__Y39__P001.jpg,0.771425,25.757618,ok
EES0423311__X15__Y06__P002.jpg,0.733350,23.220731,ok
EES0423311__X15__Y09__P003.jpg,0.771728,25.641029,ok
EES0423311__X15__Y39__P004.jpg,0.834992,24.076511,ok
EES0423311__X18__Y06__P005.jpg,0.751215,25.754232,ok
EES0423311__X18__Y3C__P006.jpg,0.771767,24.683988,ok
EES0423311__X1B__Y3F__P007.jpg,0.791546,27.070106,ok
EES0423311__X1E__Y03__P008.jpg,0.764064,21.726736,ok
EES0423311__X1E__Y3F__P009.jpg,0.710658,22.142800,ok
EES0423311__X24__Y42__P010.jpg,0.746907,25.591890,ok
EES0423311__X27__Y42__P011.jpg,0.752044,22.888859,ok
EES0423311__X2A__Y42__P012.jpg,0.872296,33.607288,ok
EES0423311__X2D__Y42__P013.jpg,0.775646,27.722576,ok
EES0423311__X33__Y3F__P014.jpg,0.803971,25.685497,ok
EES0423311__X36__Y3F__P015.jpg,0.712366,22.253476,ok
EES0423311__X39__Y06__P016.jpg,0.800682,28.330134,ok
EES0423311__X39__Y3C__P017.jpg,0.803653,26.670736,ok
EES0423311__X3C__Y09__P018.jpg,0.652344,21.113295,ok
EES0423311__X3C__Y39__P019.jpg,0.743495,24.226377,ok
EES0423311__X3F__Y0C__P020.jpg,0.746822,21.285355,ok
EES0423311__X3F__Y36__P021.jpg,0.761165,25.004605,ok
EES0423311__X42__Y0F__P022.jpg,0.842696,27.676253,ok
EES0423311__X42__Y33__P023.jpg,0.817052,27.491522,ok
EES0423311__X45__Y15__P024.jpg,0.734588,21.570064,ok
EES0423311__X45__Y2A__P025.jpg,0.725267,20.107111,ok
EES0423312__X12__Y1E__P001.jpg,0.775480,23.995496,ok
EES0423312__X12__Y21__P002.jpg,0.844869,26.615259,ok
EES0423312__X12__Y24__P003.jpg,0.754722,22.005281,ok
EES0423312__X12__Y27__P004.jpg,0.715454,21.592396,ok
EES0423312__X12__Y2A__P005.jpg,0.770308,23.617568,ok
EES0423312__X12__Y2D__P006.jpg,0.754896,22.683151,ok
EES0423312__X12__Y30__P007.jpg,0.862515,35.096700,ok
EES0423312__X12__Y33__P008.jpg,0.883748,29.342618,ok
EES0423312__X15__Y0F__P009.jpg,0.790425,21.087423,ok
EES0423312__X15__Y12__P010.jpg,0.728331,20.382420,ok
EES0423312__X15__Y33__P011.jpg,0.749727,20.520292,ok
EES0423312__X18__Y0C__P012.jpg,0.811281,24.943893,ok
EES0423312__X18__Y36__P013.jpg,0.764510,21.860125,ok
EES0423312__X18__Y39__P014.jpg,0.837428,25.558455,ok
EES0423312__X18__Y42__P015.jpg,0.715593,19.913871,ok
EES0423312__X18__Y45__P016.jpg,0.652026,20.029691,ok
EES0423312__X1B__Y39__P017.jpg,0.859231,25.612139,ok
EES0423312__X1B__Y42__P018.jpg,0.826721,25.671864,ok
EES0423312__X1E__Y09__P019.jpg,0.785213,24.606388,ok
EES0423312__X1E__Y3C__P020.jpg,0.860748,27.194831,ok
EES0423312__X1E__Y42__P021.jpg,0.813358,22.713811,ok
EES0423312__X21__Y3C__P022.jpg,0.850225,24.215615,ok
