filename,ssim,psnr,status
EES0423311__X12__Y39__P001.jpg,0.875826,31.557420,ok
EES0423311__X15__Y06__P002.jpg,0.946498,36.914825,ok
EES0423311__X15__Y09__P003.jpg,0.729976,24.224302,ok
EES0423311__X15__Y39__P004.jpg,0.851284,30.941417,ok
EES0423311__X18__Y06__P005.jpg,0.909869,27.213195,ok
EES0423311__X18__Y3C__P006.jpg,0.823322,28.760312,ok
EES0423311__X1B__Y3F__P007.jpg,0.847226,27.844876,ok
EES0423311__X1E__Y03__P008.jpg,0.826915,28.938366,ok
EES0423311__X1E__Y3F__P009.jpg,0.822679,24.401217,ok
EES0423311__X24__Y42__P010.jpg,0.892279,30.693467,ok
EES0423311__X27__Y42__P011.jpg,0.879160,28.865270,ok
EES0423311__X2A__Y42__P012.jpg,0.837143,28.169608,ok
EES0423311__X2D__Y42__P013.jpg,0.846894,28.922617,ok
EES0423311__X33__Y3F__P014.jpg,0.819486,27.380653,ok
EES0423311__X36__Y3F__P015.jpg,0.878821,29.879306,ok
EES0423311__X39__Y06__P016.jpg,0.839739,24.850200,ok
EES0423311__X39__Y3C__P017.jpg,0.866923,30.252270,ok
EES0423311__X3C__Y09__P018.jpg,0.809523,26.362669,ok
EES0423311__X3C__Y39__P019.jpg,0.788784,25.390868,ok
EES0423311__X3F__Y0C__P020.jpg,0.801962,23.208394,ok
EES0423311__X3F__Y36__P021.jpg,0.787233,25.277829,ok
EES0423311__X42__Y0F__P022.jpg,0.917471,30.874614,ok
EES0423311__X42__Y33__P023.jpg,0.847117,28.838398,ok
EES0423311__X45__Y15__P024.jpg,0.827675,26.037129,ok
EES0423311__X45__Y2A__P025.jpg,0.811018,24.670253,ok
EES0423312__X12__Y1E__P001.jpg,0.824008,25.137869,ok
EES0423312__X12__Y21__P002.jpg,0.785296,23.037707,ok
EES0423312__X12__Y24__P003.jpg,0.833256,25.016332,ok
EES0423312__X12__Y27__P004.jpg,0.858765,24.210052,ok
EES0423312__X12__Y2A__P005.jpg,0.839694,26.760493,ok
EES0423312__X12__Y2D__P006.jpg,0.785318,24.750977,ok
