filename,ssim,psnr,status
EES0423671__X12__Y15__P001.jpg,0.691957,18.150664,ok
EES0423671__X12__Y18__P002.jpg,0.787024,17.916153,ok
EES0423671__X12__Y1B__P003.jpg,0.739950,19.758184,ok
EES0423671__X12__Y2A__P004.jpg,0.726606,17.314286,ok
EES0423671__X12__Y2D__P005.jpg,0.648556,17.159112,ok
EES0423671__X15__Y12__P006.jpg,0.713370,17.178886,ok
EES0423671__X15__Y15__P007.jpg,0.757839,18.405576,ok
EES0423671__X15__Y18__P008.jpg,0.729965,17.393697,ok
EES0423671__X15__Y1B__P009.jpg,0.807260,19.511235,ok
EES0423671__X15__Y1E__P010.jpg,0.795173,18.935862,ok
EES0423671__X15__Y21__P011.jpg,0.668468,18.170958,ok
EES0423671__X15__Y27__P012.jpg,0.785665,20.304816,ok
EES0423671__X15__Y2D__P013.jpg,0.786821,19.119966,ok
EES0423671__X15__Y30__P014.jpg,0.761850,18.279850,ok
EES0423671__X18__Y15__P015.jpg,0.758977,19.074616,ok
EES0423671__X18__Y18__P016.jpg,0.795947,18.858036,ok
EES0423671__X18__Y1E__P017.jpg,0.725981,19.489297,ok
EES0423671__X18__Y21__P018.jpg,0.691188,18.805547,ok
EES0423671__X18__Y24__P019.jpg,0.718601,18.274065,ok
EES0423671__X18__Y27__P020.jpg,0.776817,19.753442,ok
EES0423671__X18__Y2A__P021.jpg,0.725788,17.889425,ok
EES0423671__X18__Y2D__P022.jpg,0.715514,18.306610,ok
EES0423671__X18__Y30__P023.jpg,0.692699,16.875758,ok
EES0423671__X18__Y33__P024.jpg,0.721934,17.886323,ok
EES0423671__X1B__Y09__P025.jpg,0.710269,19.557405,ok
EES0423672__X1B__Y18__P001.jpg,0.704885,18.451652,ok
EES0423672__X1B__Y1B__P002.jpg,0.763133,17.536128,ok
EES0423672__X1B__Y1E__P003.jpg,0.699203,17.059121,ok
EES0423672__X1B__Y21__P004.jpg,0.698666,18.423043,ok
EES0423672__X1B__Y24__P005.jpg,0.770245,17.843877,ok
EES0423672__X1B__Y27__P006.jpg,0.781772,18.163516,ok
EES0423672__X1B__Y30__P007.jpg,0.763893,18.540127,ok
EES0423672__X1B__Y33__P008.jpg,0.712658,17.739274,ok
EES0423672__X1B__Y36__P009.jpg,0.761492,18.808819,ok
EES0423672__X1E__Y15__P010.jpg,0.768433,17.815943,ok
EES0423672__X1E__Y18__P011.jpg,0.728388,17.266807,ok
EES0423672__X1E__Y21__P012.jpg,0.707789,18.247046,ok
EES0423672__X1E__Y24__P013.jpg,0.730643,17.193037,ok
EES0423672__X1E__Y27__P014.jpg,0.715607,19.617414,ok
EES0423672__X1E__Y30__P015.jpg,0.793083,19.098740,ok
EES0423672__X1E__Y33__P016.jpg,0.779806,18.806364,ok
EES0423672__X1E__Y36__P017.jpg,0.728163,18.628537,ok
EES0423672__X1E__Y39__P018.jpg,0.756062,18.883202,ok
EES0423672__X21__Y0C__P019.jpg,0.745680,18.958992,ok
EES0423672__X21__Y33__P020.jpg,0.822864,20.319459,ok
EES0423672__X21__Y36__P021.jpg,0.704770,16.771705,ok
EES0423672__X21__Y39__P022.jpg,0.770713,18.576110,ok
EES0423672__X24__Y06__P023.jpg,0.751108,17.445699,ok
EES0423672__X24__Y09__P024.jpg,0.775243,18.747614,ok
EES0423672__X24__Y0C__P025.jpg,0.752596,17.935056,ok
EES0423673__X24__Y36__P001.jpg,0.821300,24.278416,ok
EES0423673__X24__Y39__P002.jpg,0.800005,22.874964,ok
EES0423673__X27__Y0C__P003.jpg,0.827542,24.452915,ok
EES0423673__X27__Y2D__P004.jpg,0.840340,21.615252,ok
EES0423673__X27__Y30__P005.jpg,0.825837,22.529907,ok
EES0423673__X27__Y33__P006.jpg,0.896996,24.659235,ok
EES0423673__X27__Y39__P007.jpg,0.786575,21.504524,ok
EES0423673__X2A__Y33__P008.jpg,0.782549,21.331120,ok
EES0423673__X33__Y09__P009.jpg,0.768318,17.742048,ok
EES0423673__X39__Y21__P010.jpg,0.712086,17.142986,ok
EES0423673__X39__Y24__P011.jpg,0.699630,16.737072,ok
EES0423673__X42__Y27__P012.jpg,0.836240,23.220614,ok
EES0423673__X06__Y09__P013.jpg,0.911663,31.796466,ok
EES0423673__X09__Y1E__P014.jpg,0.729822,17.488292,ok
EES0423673__X09__Y21__P015.jpg,0.711215,16.997260,ok
EES0423673__X09__Y27__P016.jpg,0.731179,19.894077,ok
EES0423673__X0C__Y12__P017.jpg,0.797367,19.622909,ok
EES0423673__X0C__Y15__P018.jpg,0.769723,19.786782,ok
EES0423673__X0C__Y2D__P019.jpg,0.748461,19.064505,ok
EES0423673__X0C__Y30__P020.jpg,0.841933,22.480452,ok
EES0423673__X0F__Y0C__P021.jpg,0.746513,17.733934,ok
