filename,ssim,psnr,status
EES0423311__X12__Y39__P001.jpg,0.764768,19.682678,ok
EES0423311__X15__Y06__P002.jpg,0.925849,36.896755,ok
EES0423311__X15__Y09__P003.jpg,0.591955,17.924268,ok
EES0423311__X15__Y39__P004.jpg,0.721076,17.965560,ok
EES0423311__X18__Y06__P005.jpg,0.867151,24.884427,ok
EES0423311__X18__Y3C__P006.jpg,0.678945,18.435291,ok
EES0423311__X1B__Y3F__P007.jpg,0.737895,20.340262,ok
EES0423311__X1E__Y03__P008.jpg,0.696378,19.294868,ok
EES0423311__X1E__Y3F__P009.jpg,0.749032,22.277099,ok
EES0423311__X24__Y42__P010.jpg,0.828738,20.373133,ok
EES0423311__X27__Y42__P011.jpg,0.776541,18.858806,ok
EES0423311__X2A__Y42__P012.jpg,0.712751,18.339652,ok
EES0423311__X2D__Y42__P013.jpg,0.707634,17.490362,ok
EES0423311__X33__Y3F__P014.jpg,0.702605,18.701186,ok
EES0423311__X36__Y3F__P015.jpg,0.803895,21.552697,ok
EES0423311__X39__Y06__P016.jpg,0.768606,20.676040,ok
EES0423311__X39__Y3C__P017.jpg,0.764226,19.835024,ok
EES0423311__X3C__Y09__P018.jpg,0.640629,18.379193,ok
EES0423311__X3C__Y39__P019.jpg,0.629669,19.128916,ok
EES0423311__X3F__Y0C__P020.jpg,0.669076,18.830775,ok
EES0423311__X3F__Y36__P021.jpg,0.658838,18.884163,ok
EES0423311__X42__Y0F__P022.jpg,0.891658,29.945966,ok
EES0423311__X42__Y33__P023.jpg,0.740638,19.132331,ok
EES0423311__X45__Y15__P024.jpg,0.743499,22.171035,ok
EES0423311__X45__Y2A__P025.jpg,0.648396,19.796171,ok
EES0423312__X12__Y1E__P001.jpg,0.732050,17.047082,ok
EES0423312__X12__Y21__P002.jpg,0.687373,17.804064,ok
EES0423312__X12__Y24__P003.jpg,0.767011,20.557224,ok
EES0423312__X12__Y27__P004.jpg,0.792501,20.122520,ok
EES0423312__X12__Y2A__P005.jpg,0.789718,20.571920,ok
EES0423312__X12__Y2D__P006.jpg,0.717964,18.039872,ok
EES0423312__X12__Y30__P007.jpg,0.734173,18.381638,ok
EES0423312__X12__Y33__P008.jpg,0.902130,27.160040,ok
EES0423312__X15__Y0F__P009.jpg,0.771985,19.947747,ok
EES0423312__X15__Y12__P010.jpg,0.677152,19.430934,ok
EES0423312__X15__Y33__P011.jpg,0.863342,28.422619,ok
EES0423312__X18__Y0C__P012.jpg,0.863422,25.427213,ok
EES0423312__X18__Y36__P013.jpg,0.817094,21.673343,ok
EES0423312__X18__Y39__P014.jpg,0.850783,23.706619,ok
EES0423312__X18__Y42__P015.jpg,0.885115,25.428394,ok
EES0423312__X18__Y45__P016.jpg,0.909097,34.925630,ok
EES0423312__X1B__Y39__P017.jpg,0.754599,22.273941,ok
EES0423312__X1B__Y42__P018.jpg,0.919566,33.556033,ok
EES0423312__X1E__Y09__P019.jpg,0.740323,19.434924,ok
EES0423312__X1E__Y3C__P020.jpg,0.774307,19.930077,ok
EES0423312__X1E__Y42__P021.jpg,0.899474,27.102124,ok
EES0423312__X21__Y3C__P022.jpg,0.809164,23.781449,ok
EES0423312__X21__Y42__P023.jpg,0.821404,22.307276,ok
EES0423312__X24__Y06__P024.jpg,0.863259,24.209003,ok
EES0423312__X24__Y3F__P025.jpg,0.872450,22.927066,ok
EES0423313__X0F__Y27__P001.jpg,0.758097,18.660837,ok
EES0423313__X12__Y0F__P002.jpg,0.917983,32.895138,ok
EES0423313__X12__Y2D__P003.jpg,0.734659,18.356480,ok
EES0423313__X12__Y33__P004.jpg,0.884927,26.568003,ok
EES0423313__X15__Y0C__P005.jpg,0.735279,16.574696,ok
EES0423313__X15__Y36__P006.jpg,0.845515,21.761305,ok
EES0423313__X18__Y06__P007.jpg,0.847646,23.998485,ok
EES0423313__X18__Y36__P008.jpg,0.846225,23.475613,ok
EES0423313__X18__Y39__P009.jpg,0.816297,20.873348,ok
EES0423313__X1B__Y3C__P010.jpg,0.795843,22.768440,ok
EES0423313__X1E__Y03__P011.jpg,0.867667,22.894175,ok
EES0423313__X1E__Y39__P012.jpg,0.798376,19.930213,ok
EES0423313__X27__Y3C__P013.jpg,0.720165,17.388839,ok
EES0423313__X27__Y3F__P014.jpg,0.916751,29.083318,ok
EES0423313__X2A__Y3C__P015.jpg,0.764756,19.397314,ok
EES0423313__X2A__Y3F__P016.jpg,0.891932,24.892985,ok
EES0423313__X30__Y3C__P017.jpg,0.800857,21.183388,ok
EES0423313__X33__Y03__P018.jpg,0.812999,19.611656,ok
EES0423313__X36__Y03__P019.jpg,0.867498,24.001947,ok
EES0423313__X36__Y39__P020.jpg,0.682917,17.252681,ok
EES0423313__X39__Y06__P021.jpg,0.773485,18.122288,ok
EES0423313__X39__Y39__P022.jpg,0.865168,24.069883,ok
EES0423313__X3C__Y36__P023.jpg,0.868353,23.894008,ok
EES0423313__X3F__Y33__P024.jpg,0.865799,24.510553,ok
EES0423313__X42__Y0F__P025.jpg,0.839598,22.275607,ok
EES0423314__X24__Y42__P001.jpg,0.856901,21.479826,ok
EES0423314__X27__Y06__P002.jpg,0.927240,40.822971,ok
EES0423314__X2A__Y06__P003.jpg,0.850579,23.595958,ok
EES0423314__X2A__Y42__P004.jpg,0.790896,20.713466,ok
EES0423314__X2D__Y06__P005.jpg,0.822711,21.779494,ok
EES0423314__X2D__Y42__P006.jpg,0.821666,24.174487,ok
EES0423314__X30__Y06__P007.jpg,0.826101,23.093993,ok
EES0423314__X30__Y42__P008.jpg,0.866923,27.939488,ok
EES0423314__X36__Y09__P009.jpg,0.920697,27.666682,ok
EES0423314__X39__Y0C__P010.jpg,0.692244,18.259751,ok
EES0423314__X39__Y1E__P011.jpg,0.693208,18.477334,ok
EES0423314__X3C__Y3C__P012.jpg,0.897545,26.330132,ok
EES0423314__X3F__Y12__P013.jpg,0.725398,18.334564,ok
EES0423314__X3F__Y39__P014.jpg,0.813055,22.810027,ok
EES0423314__X42__Y15__P015.jpg,0.803206,20.889725,ok
EES0423314__X45__Y1B__P016.jpg,0.899152,29.048100,ok
EES0423314__X45__Y1E__P017.jpg,0.697667,19.047134,ok
EES0423314__X45__Y27__P018.jpg,0.637576,17.855191,ok
EES0423314__X45__Y2A__P019.jpg,0.688943,18.376406,ok
EES0423314__X45__Y2D__P020.jpg,0.766074,19.624904,ok
EES0423314__X45__Y30__P021.jpg,0.852979,24.532477,ok
EES0423314__X18__Y39__P022.jpg,0.718565,16.945618,ok
EES0423314__X1B__Y0C__P023.jpg,0.684851,16.116592,ok
EES0423314__X1E__Y09__P024.jpg,0.854750,20.364790,ok
EES0423314__X2A__Y06__P025.jpg,0.834724,20.155101,ok
EES0423315__X27__Y42__P001.jpg,0.799284,20.721664,ok
EES0423315__X2A__Y42__P002.jpg,0.777125,19.244670,ok
EES0423315__X2D__Y42__P003.jpg,0.754704,20.896380,ok
EES0423315__X30__Y3F__P004.jpg,0.699857,17.866154,ok
EES0423315__X30__Y42__P005.jpg,0.894920,26.468038,ok
EES0423315__X33__Y3F__P006.jpg,0.781887,21.790654,ok
EES0423315__X33__Y42__P007.jpg,0.739780,19.356439,ok
EES0423315__X36__Y3F__P008.jpg,0.873162,25.128325,ok
EES0423315__X36__Y42__P009.jpg,0.738490,17.093606,ok
EES0423315__X36__Y45__P010.jpg,0.833483,21.378551,ok
EES0423315__X39__Y3C__P011.jpg,0.722595,19.326824,ok
EES0423315__X39__Y45__P012.jpg,0.721190,17.899280,ok
EES0423315__X3C__Y0C__P013.jpg,0.826265,21.241333,ok
EES0423315__X3C__Y39__P014.jpg,0.679265,19.393451,ok
EES0423315__X3C__Y45__P015.jpg,0.803093,19.856905,ok
EES0423315__X3F__Y0F__P016.jpg,0.869412,23.957275,ok
EES0423315__X3F__Y39__P017.jpg,0.919180,28.312687,ok
EES0423315__X3F__Y42__P018.jpg,0.821638,19.708138,ok
EES0423315__X42__Y12__P019.jpg,0.857276,22.767817,ok
EES0423315__X42__Y15__P020.jpg,0.779260,18.915581,ok
EES0423315__X42__Y33__P021.jpg,0.718410,18.080816,ok
EES0423315__X42__Y42__P022.jpg,0.838296,21.088750,ok
EES0423315__X42__Y45__P023.jpg,0.791129,18.962454,ok
EES0423315__X45__Y15__P024.jpg,0.810943,19.946870,ok
EES0423315__X45__Y18__P025.jpg,0.799765,21.032117,ok
EES0423316__X45__Y1E__P001.jpg,0.790460,20.418755,ok
EES0423316__X45__Y2A__P002.jpg,0.683799,17.560292,ok
EES0423316__X45__Y39__P003.jpg,0.842655,21.623126,ok
EES0423316__X45__Y42__P004.jpg,0.884221,25.791197,ok
EES0423316__X48__Y1E__P005.jpg,0.880612,23.856648,ok
EES0423316__X48__Y21__P006.jpg,0.820744,21.155434,ok
EES0423316__X48__Y27__P007.jpg,0.833975,20.998357,ok
EES0423316__X48__Y2D__P008.jpg,0.870329,23.244107,ok
EES0423316__X48__Y3F__P009.jpg,0.825927,22.622440,ok
