filename,ssim,psnr,status
EES0423311__X12__Y39__P001.jpg,0.799477,17.948408,ok
EES0423311__X15__Y06__P002.jpg,0.929802,21.668377,ok
EES0423311__X15__Y09__P003.jpg,0.600562,14.127347,ok
EES0423311__X15__Y39__P004.jpg,0.781985,17.454246,ok
EES0423311__X18__Y06__P005.jpg,0.885381,20.422287,ok
EES0423311__X18__Y3C__P006.jpg,0.711548,15.705149,ok
EES0423311__X1B__Y3F__P007.jpg,0.741840,16.277949,ok
EES0423311__X1E__Y03__P008.jpg,0.721891,15.974876,ok
EES0423311__X1E__Y3F__P009.jpg,0.729340,16.581248,ok
EES0423311__X24__Y42__P010.jpg,0.857947,19.708679,ok
EES0423311__X27__Y42__P011.jpg,0.786391,17.055945,ok
EES0423311__X2A__Y42__P012.jpg,0.754478,17.005653,ok
EES0423311__X2D__Y42__P013.jpg,0.749120,16.139701,ok
EES0423311__X33__Y3F__P014.jpg,0.729934,15.934281,ok
EES0423311__X36__Y3F__P015.jpg,0.819627,18.090761,ok
EES0423311__X39__Y06__P016.jpg,0.777919,17.265718,ok
EES0423311__X39__Y3C__P017.jpg,0.773419,16.970385,ok
EES0423311__X3C__Y09__P018.jpg,0.670636,15.729996,ok
EES0423311__X3C__Y39__P019.jpg,0.610841,13.950281,ok
EES0423311__X3F__Y0C__P020.jpg,0.657238,14.958739,ok
EES0423311__X3F__Y36__P021.jpg,0.628227,14.333248,ok
EES0423311__X42__Y0F__P022.jpg,0.898591,20.592726,ok
EES0423311__X42__Y33__P023.jpg,0.748308,15.946484,ok
EES0423311__X45__Y15__P024.jpg,0.726169,18.035563,ok
EES0423311__X45__Y2A__P025.jpg,0.608733,14.281714,ok
EES0423312__X12__Y1E__P001.jpg,0.680127,14.588590,ok
EES0423312__X12__Y21__P002.jpg,0.600614,12.858504,ok
EES0423312__X12__Y24__P003.jpg,0.657111,14.181295,ok
EES0423312__X12__Y27__P004.jpg,0.721167,15.147264,ok
EES0423312__X12__Y2A__P005.jpg,0.764541,15.587077,ok
EES0423312__X12__Y2D__P006.jpg,0.681757,14.138753,ok
EES0423312__X12__Y30__P007.jpg,0.689176,14.229073,ok
EES0423312__X12__Y33__P008.jpg,0.899333,20.450731,ok
EES0423312__X15__Y0F__P009.jpg,0.700552,13.657822,ok
EES0423312__X15__Y12__P010.jpg,0.544971,13.259458,ok
EES0423312__X15__Y33__P011.jpg,0.805727,16.848678,ok
EES0423312__X18__Y0C__P012.jpg,0.826448,18.150087,ok
EES0423312__X18__Y36__P013.jpg,0.817609,17.637153,ok
EES0423312__X18__Y39__P014.jpg,0.837864,17.050529,ok
EES0423312__X18__Y42__P015.jpg,0.880360,18.918375,ok
EES0423312__X18__Y45__P016.jpg,0.920827,23.303952,ok
EES0423312__X1B__Y39__P017.jpg,0.709128,15.405484,ok
EES0423312__X1B__Y42__P018.jpg,0.931244,23.456457,ok
EES0423312__X1E__Y09__P019.jpg,0.672847,13.623719,ok
EES0423312__X1E__Y3C__P020.jpg,0.733671,14.927989,ok
EES0423312__X1E__Y42__P021.jpg,0.890096,20.463461,ok
EES0423312__X21__Y3C__P022.jpg,0.780685,16.291138,ok
EES0423312__X21__Y42__P023.jpg,0.827086,19.381424,ok
EES0423312__X24__Y06__P024.jpg,0.823750,16.948180,ok
EES0423312__X24__Y3F__P025.jpg,0.873998,19.389807,ok
EES0423313__X0F__Y27__P001.jpg,0.740460,17.331911,ok
EES0423313__X12__Y0F__P002.jpg,0.910232,21.532944,ok
EES0423313__X12__Y2D__P003.jpg,0.736806,17.530125,ok
EES0423313__X12__Y33__P004.jpg,0.878313,21.159462,ok
EES0423313__X15__Y0C__P005.jpg,0.737829,16.330187,ok
EES0423313__X15__Y36__P006.jpg,0.843826,19.102163,ok
EES0423313__X18__Y06__P007.jpg,0.850689,19.373329,ok
EES0423313__X18__Y36__P008.jpg,0.851531,20.292023,ok
EES0423313__X18__Y39__P009.jpg,0.797895,17.261494,ok
EES0423313__X1B__Y3C__P010.jpg,0.776599,17.127923,ok
EES0423313__X1E__Y03__P011.jpg,0.875439,19.791742,ok
EES0423313__X1E__Y39__P012.jpg,0.806207,18.381380,ok
EES0423313__X27__Y3C__P013.jpg,0.728396,17.087929,ok
