filename,ssim,psnr,status
C132576__X1E__Y0F.jpg,0.945140,28.018740,ok
C132576__X1E__Y12.jpg,0.909944,26.264494,ok
C132576__X1E__Y21.jpg,0.920280,22.815118,ok
C132576__X1E__Y45.jpg,0.942449,31.991408,ok
C132576__X27__Y0C.jpg,0.907001,23.856077,ok
C132576__X27__Y1B.jpg,0.916996,23.845708,ok
C132576__X2A__Y0C.jpg,0.938104,25.083558,ok
C132576__X2A__Y12.jpg,0.934105,23.358149,ok
C132576__X2A__Y1E.jpg,0.928855,23.338271,ok
C132576__X2A__Y24.jpg,0.891687,22.070514,ok
C132576__X2D__Y09.jpg,0.898492,26.583323,ok
C132576__X2D__Y0C.jpg,0.925007,27.356599,ok
C132576__X2D__Y0F.jpg,0.917082,23.934334,ok
C132576__X2D__Y12.jpg,0.905129,23.576449,ok
C132576__X2D__Y15.jpg,0.937769,25.308339,ok
C132576__X2D__Y18.jpg,0.916490,22.450397,ok
C132576__X30__Y09.jpg,0.911471,28.275677,ok
C132576__X30__Y0C.jpg,0.909411,24.337655,ok
C132576__X30__Y18.jpg,0.885829,23.323722,ok
C132576__X30__Y21.jpg,0.902255,23.436999,ok
C132576__X33__Y0C.jpg,0.928097,23.201792,ok
C132576__X33__Y12.jpg,0.910865,22.406979,ok
C132576__X33__Y15.jpg,0.921699,23.580323,ok
C132576__X33__Y18.jpg,0.905413,22.812628,ok
C132576__X36__Y18.jpg,0.913948,24.244226,ok
C132577__X36__Y1E.jpg,0.921405,27.079651,ok
C132577__X36__Y2A.jpg,0.928723,22.495108,ok
C132577__X39__Y18.jpg,0.867446,23.135258,ok
C132577__X3C__Y1E.jpg,0.900304,21.842796,ok
C132577__X48__Y09.jpg,0.952916,25.557500,ok
C132577__X48__Y0C.jpg,0.950725,25.079048,ok
C132577__X18__Y24.jpg,0.879559,22.740477,ok
C132577__X1B__Y15.jpg,0.889133,17.323082,ok
C132577__X21__Y0F.jpg,0.892006,21.667478,ok
C132577__X21__Y15.jpg,0.756099,16.746776,ok
C132577__X21__Y18.jpg,0.906308,21.767254,ok
C132577__X21__Y1E.jpg,0.825083,18.968452,ok
C132577__X21__Y21.jpg,0.892175,23.453845,ok
C132577__X21__Y30.jpg,0.867797,17.321239,ok
C132577__X24__Y0C.jpg,0.865890,20.504413,ok
C132577__X24__Y0F.jpg,0.864327,21.496686,ok
C132577__X24__Y15.jpg,0.861727,20.437266,ok
C132577__X24__Y18.jpg,0.817741,19.456649,ok
C132577__X24__Y1B.jpg,0.877905,20.337194,ok
C132577__X24__Y21.jpg,0.862395,21.190636,ok
C132577__X24__Y24.jpg,0.830875,19.890628,ok
C132577__X24__Y30.jpg,0.864739,20.054287,ok
C132577__X24__Y33.jpg,0.871449,18.153099,ok
