filename,ssim,psnr,status
EES0423311__X12__Y39__P001.jpg,0.792431,22.919692,ok
EES0423311__X15__Y06__P002.jpg,0.954356,32.198126,ok
EES0423311__X15__Y09__P003.jpg,0.564170,15.845413,ok
EES0423311__X15__Y39__P004.jpg,0.668815,14.725504,ok
EES0423311__X18__Y06__P005.jpg,0.926681,28.461225,ok
EES0423311__X18__Y3C__P006.jpg,0.653708,16.972724,ok
EES0423311__X1B__Y3F__P007.jpg,0.754581,22.147626,ok
EES0423311__X1E__Y03__P008.jpg,0.587394,14.766745,ok
EES0423311__X1E__Y3F__P009.jpg,0.763851,23.480182,ok
EES0423311__X24__Y42__P010.jpg,0.873550,23.859053,ok
EES0423311__X27__Y42__P011.jpg,0.806871,23.518785,ok
EES0423311__X2A__Y42__P012.jpg,0.769572,23.076262,ok
EES0423311__X2D__Y42__P013.jpg,0.767902,21.547068,ok
EES0423311__X33__Y3F__P014.jpg,0.720983,19.957143,ok
EES0423311__X36__Y3F__P015.jpg,0.836745,23.876183,ok
EES0423311__X39__Y06__P016.jpg,0.831927,22.211644,ok
EES0423311__X39__Y3C__P017.jpg,0.792932,23.836285,ok
EES0423311__X3C__Y09__P018.jpg,0.579858,15.844920,ok
EES0423311__X3C__Y39__P019.jpg,0.611065,17.485291,ok
EES0423311__X3F__Y0C__P020.jpg,0.648420,18.940764,ok
EES0423311__X3F__Y36__P021.jpg,0.647477,18.749855,ok
EES0423311__X42__Y0F__P022.jpg,0.935061,29.997532,ok
EES0423311__X42__Y33__P023.jpg,0.720216,18.314626,ok
EES0423311__X45__Y15__P024.jpg,0.721431,22.293498,ok
EES0423311__X45__Y2A__P025.jpg,0.593709,17.368429,ok
EES0423312__X12__Y1E__P001.jpg,0.757271,23.278807,ok
EES0423312__X12__Y21__P002.jpg,0.661483,20.268803,ok
EES0423312__X12__Y24__P003.jpg,0.772622,23.030129,ok
EES0423312__X12__Y27__P004.jpg,0.796860,22.222682,ok
EES0423312__X12__Y2A__P005.jpg,0.803997,23.168349,ok
EES0423312__X12__Y2D__P006.jpg,0.644034,15.698373,ok
EES0423312__X12__Y30__P007.jpg,0.684261,17.304885,ok
EES0423312__X12__Y33__P008.jpg,0.941078,28.906559,ok
EES0423312__X15__Y0F__P009.jpg,0.668597,15.224134,ok
EES0423312__X15__Y12__P010.jpg,0.569799,17.525945,ok
EES0423312__X15__Y33__P011.jpg,0.842251,22.997852,ok
EES0423312__X18__Y0C__P012.jpg,0.881295,22.808594,ok
EES0423312__X18__Y36__P013.jpg,0.840336,24.570721,ok
EES0423312__X18__Y39__P014.jpg,0.887978,24.464960,ok
EES0423312__X18__Y42__P015.jpg,0.930643,26.498281,ok
EES0423312__X18__Y45__P016.jpg,0.432581,10.248120,ok
EES0423312__X1B__Y39__P017.jpg,0.740318,22.535737,ok
EES0423312__X1B__Y42__P018.jpg,0.603061,14.244656,ok
EES0423312__X1E__Y09__P019.jpg,0.636684,17.308262,ok
EES0423312__X1E__Y3C__P020.jpg,0.743994,18.428117,ok
EES0423312__X1E__Y42__P021.jpg,0.938006,27.600683,ok
EES0423312__X21__Y3C__P022.jpg,0.839021,22.283649,ok
EES0423312__X21__Y42__P023.jpg,0.814169,22.548707,ok
EES0423312__X24__Y06__P024.jpg,0.861572,21.796249,ok
EES0423312__X24__Y3F__P025.jpg,0.899508,23.862625,ok
EES0423313__X0F__Y27__P001.jpg,0.728059,18.992199,ok
EES0423313__X12__Y0F__P002.jpg,0.948715,30.633088,ok
EES0423313__X12__Y2D__P003.jpg,0.695217,16.251134,ok
EES0423313__X12__Y33__P004.jpg,0.921524,25.393528,ok
EES0423313__X15__Y0C__P005.jpg,0.744766,16.372638,ok
EES0423313__X15__Y36__P006.jpg,0.890329,22.136934,ok
EES0423313__X18__Y06__P007.jpg,0.905463,22.979531,ok
EES0423313__X18__Y36__P008.jpg,0.902337,23.424438,ok
EES0423313__X18__Y39__P009.jpg,0.831450,23.112872,ok
EES0423313__X1B__Y3C__P010.jpg,0.801950,22.697883,ok
EES0423313__X1E__Y03__P011.jpg,0.924728,23.155020,ok
EES0423313__X1E__Y39__P012.jpg,0.820089,21.850953,ok
EES0423313__X27__Y3C__P013.jpg,0.695055,15.933924,ok
EES0423313__X27__Y3F__P014.jpg,0.952584,30.953019,ok
EES0423313__X2A__Y3C__P015.jpg,0.747928,19.812619,ok
EES0423313__X2A__Y3F__P016.jpg,0.925348,21.514242,ok
EES0423313__X30__Y3C__P017.jpg,0.791270,21.633984,ok
EES0423313__X33__Y03__P018.jpg,0.829802,22.103858,ok
EES0423313__X36__Y03__P019.jpg,0.921943,23.872780,ok
EES0423313__X36__Y39__P020.jpg,0.613484,15.318716,ok
EES0423313__X39__Y06__P021.jpg,0.783294,21.006487,ok
EES0423313__X39__Y39__P022.jpg,0.920368,25.258377,ok
EES0423313__X3C__Y36__P023.jpg,0.899411,23.011344,ok
EES0423313__X3F__Y33__P024.jpg,0.890044,22.548902,ok
EES0423313__X42__Y0F__P025.jpg,0.901279,25.403166,ok
EES0423314__X24__Y42__P001.jpg,0.899881,23.889924,ok
EES0423314__X27__Y06__P002.jpg,0.510506,11.300693,ok
EES0423314__X2A__Y06__P003.jpg,0.855426,23.084742,ok
EES0423314__X2A__Y42__P004.jpg,0.838064,22.572788,ok
EES0423314__X2D__Y06__P005.jpg,0.856939,22.479427,ok
EES0423314__X2D__Y42__P006.jpg,0.799886,20.174383,ok
EES0423314__X30__Y06__P007.jpg,0.851950,22.121252,ok
EES0423314__X30__Y42__P008.jpg,0.891583,22.095115,ok
EES0423314__X36__Y09__P009.jpg,0.802988,19.798549,ok
EES0423314__X39__Y0C__P010.jpg,0.632143,15.387506,ok
EES0423314__X39__Y1E__P011.jpg,0.587855,15.454471,ok
EES0423314__X3C__Y3C__P012.jpg,0.941136,25.919002,ok
EES0423314__X3F__Y12__P013.jpg,0.642968,15.641527,ok
EES0423314__X3F__Y39__P014.jpg,0.725949,18.297579,ok
EES0423314__X42__Y15__P015.jpg,0.811538,22.142033,ok
EES0423314__X45__Y1B__P016.jpg,0.952804,36.511223,ok
EES0423314__X45__Y1E__P017.jpg,0.647817,15.874344,ok
EES0423314__X45__Y27__P018.jpg,0.586976,15.717430,ok
EES0423314__X45__Y2A__P019.jpg,0.652703,19.760557,ok
EES0423314__X45__Y2D__P020.jpg,0.793784,23.651110,ok
EES0423314__X45__Y30__P021.jpg,0.888486,22.409765,ok
EES0423314__X18__Y39__P022.jpg,0.721188,19.009041,ok
EES0423314__X1B__Y0C__P023.jpg,0.715463,17.713494,ok
EES0423314__X1E__Y09__P024.jpg,0.904778,22.567436,ok
EES0423314__X2A__Y06__P025.jpg,0.894723,22.033638,ok
EES0423315__X27__Y42__P001.jpg,0.802378,22.279122,ok
EES0423315__X2A__Y42__P002.jpg,0.804589,22.223500,ok
EES0423315__X2D__Y42__P003.jpg,0.724736,17.339852,ok
EES0423315__X30__Y3F__P004.jpg,0.659487,15.387372,ok
EES0423315__X30__Y42__P005.jpg,0.936864,26.691502,ok
EES0423315__X33__Y3F__P006.jpg,0.751758,20.714328,ok
EES0423315__X33__Y42__P007.jpg,0.756765,22.063697,ok
EES0423315__X36__Y3F__P008.jpg,0.908195,25.061202,ok
EES0423315__X36__Y42__P009.jpg,0.776490,21.057592,ok
EES0423315__X36__Y45__P010.jpg,0.843361,22.590576,ok
EES0423315__X39__Y3C__P011.jpg,0.656232,14.537714,ok
EES0423315__X39__Y45__P012.jpg,0.662575,15.476995,ok
EES0423315__X3C__Y0C__P013.jpg,0.798784,18.303020,ok
EES0423315__X3C__Y39__P014.jpg,0.574450,14.836930,ok
EES0423315__X3C__Y45__P015.jpg,0.839727,21.369846,ok
EES0423315__X3F__Y0F__P016.jpg,0.825954,21.552885,ok
EES0423315__X3F__Y39__P017.jpg,0.943615,29.524891,ok
EES0423315__X3F__Y42__P018.jpg,0.855557,23.264197,ok
EES0423315__X42__Y12__P019.jpg,0.906107,22.117549,ok
EES0423315__X42__Y15__P020.jpg,0.751109,15.156765,ok
EES0423315__X42__Y33__P021.jpg,0.674356,16.326747,ok
EES0423315__X42__Y42__P022.jpg,0.805203,19.009418,ok
EES0423315__X42__Y45__P023.jpg,0.757507,14.963650,ok
EES0423315__X45__Y15__P024.jpg,0.847086,22.422075,ok
EES0423315__X45__Y18__P025.jpg,0.761324,18.632557,ok
EES0423316__X45__Y1E__P001.jpg,0.796892,20.944687,ok
EES0423316__X45__Y2A__P002.jpg,0.620302,14.316229,ok
EES0423316__X45__Y39__P003.jpg,0.860363,23.474397,ok
EES0423316__X45__Y42__P004.jpg,0.942041,25.887701,ok
EES0423316__X48__Y1E__P005.jpg,0.916789,24.143276,ok
EES0423316__X48__Y21__P006.jpg,0.872148,22.589047,ok
EES0423316__X48__Y27__P007.jpg,0.888160,22.417784,ok
EES0423316__X48__Y2D__P008.jpg,0.917062,21.178227,ok
EES0423316__X48__Y3F__P009.jpg,0.840285,23.217243,ok
EES0423316__X48__Y42__P010.jpg,0.859786,22.078570,ok
EES0423316__X15__Y21__P011.jpg,0.812703,20.965198,ok
EES0423316__X15__Y27__P012.jpg,0.831549,22.651410,ok
EES0423316__X18__Y18__P013.jpg,0.775029,20.789947,ok
EES0423316__X18__Y21__P014.jpg,0.832617,22.557655,ok
EES0423316__X18__Y2A__P015.jpg,0.626480,16.054668,ok
EES0423316__X1B__Y0C__P016.jpg,0.484482,10.129002,ok
EES0423316__X1E__Y30__P017.jpg,0.753359,18.666851,ok
EES0423316__X21__Y36__P018.jpg,0.747793,16.550298,ok
EES0423316__X27__Y15__P019.jpg,0.716413,16.495351,ok
EES0423316__X33__Y09__P020.jpg,0.927769,23.323307,ok
EES0423316__X39__Y12__P021.jpg,0.687628,17.195202,ok
EES0423316__X45__Y2D__P022.jpg,0.813204,21.797455,ok
EES0423316__X48__Y24__P023.jpg,0.922744,30.766259,ok
EES0423316__X48__Y27__P024.jpg,0.935767,28.140403,ok
EES0423316__X15__Y1E__P025.jpg,0.673406,16.509628,ok
EES0423317__X42__Y30__P001.jpg,0.570541,16.501923,ok
EES0423317__X42__Y39__P002.jpg,0.856067,22.772223,ok
EES0423317__X42__Y3C__P003.jpg,0.836048,23.182279,ok
EES0423317__X45__Y15__P004.jpg,0.888359,23.404320,ok
EES0423317__X45__Y33__P005.jpg,0.538741,15.337628,ok
EES0423317__X45__Y36__P006.jpg,0.948096,32.166791,ok
EES0423317__X48__Y24__P007.jpg,0.718346,21.700985,ok
EES0423317__X48__Y2A__P008.jpg,0.716117,22.647332,ok
EES0423317__X48__Y30__P009.jpg,0.863513,22.019159,ok
EES0423317__X09__Y1E__P010.jpg,0.832639,23.540239,ok
EES0423317__X09__Y2A__P011.jpg,0.822920,22.962393,ok
EES0423317__X0C__Y15__P012.jpg,0.874039,22.493220,ok
EES0423317__X0C__Y2D__P013.jpg,0.670428,18.417042,ok
EES0423317__X0C__Y30__P014.jpg,0.688077,13.978687,ok
EES0423317__X0C__Y33__P015.jpg,0.951856,36.350050,ok
EES0423317__X0F__Y0F__P016.jpg,0.876784,21.095013,ok
EES0423317__X0F__Y12__P017.jpg,0.930362,26.906612,ok
EES0423317__X0F__Y33__P018.jpg,0.569066,15.694243,ok
EES0423317__X0F__Y36__P019.jpg,0.898123,23.794979,ok
EES0423317__X12__Y0C__P020.jpg,0.899596,24.059224,ok
EES0423317__X12__Y36__P021.jpg,0.553523,14.923903,ok
EES0423317__X12__Y39__P022.jpg,0.844213,23.868218,ok
EES0423317__X15__Y09__P023.jpg,0.906397,31.741255,ok
EES0423317__X18__Y09__P024.jpg,0.658611,16.416748,ok
EES0423317__X18__Y3C__P025.jpg,0.537569,15.574873,ok
EES0423318__X18__Y3F__P001.jpg,0.862361,20.414706,ok
EES0423318__X1E__Y03__P002.jpg,0.972515,22.672190,ok
EES0423318__X21__Y03__P003.jpg,0.976007,22.633526,ok
EES0423318__X2D__Y06__P004.jpg,0.964806,20.446531,ok
EES0423318__X30__Y06__P005.jpg,0.979375,24.638373,ok
EES0423318__X06__Y18__P006.jpg,0.847367,21.257674,ok
EES0423318__X18__Y3F__P007.jpg,0.904918,19.837017,ok
EES0423318__X1B__Y3F__P008.jpg,0.810385,20.868450,ok
EES0423318__X1B__Y45__P009.jpg,0.951972,19.061011,ok
EES0423318__X24__Y3F__P010.jpg,0.897963,19.340103,ok
EES0423318__X45__Y1B__P011.jpg,0.965220,22.258420,ok
EES0423318__X30__Y42__P012.jpg,0.963778,22.644105,ok
EES0423318__X42__Y33__P013.jpg,0.970891,25.217762,ok
EES0423318__X42__Y45__P014.jpg,0.943997,23.723034,ok
EES0423318__X18__Y30__P015.jpg,0.911714,18.756923,ok
EES0423318__X18__Y33__P016.jpg,0.940617,18.997930,ok
EES0423318__X21__Y42__P017.jpg,0.965692,21.959432,ok
EES0423318__X27__Y45__P018.jpg,0.960102,22.709302,ok
EES0423318__X36__Y42__P019.jpg,0.961334,23.969503,ok
EES0423318__X36__Y45__P020.jpg,0.890835,22.002804,ok
EES0423318__X3F__Y1B__P021.jpg,0.930239,22.175518,ok
EES0423318__X42__Y42__P022.jpg,0.981404,31.101525,ok
EES0423318__X09__Y12__P023.jpg,0.939245,21.585083,ok
EES0423318__X09__Y15__P024.jpg,0.940569,20.734099,ok
EES0423318__X0C__Y0F__P025.jpg,0.939087,21.898852,ok
EES0423319__X48__Y3F__P001.jpg,0.981492,25.707135,ok
EES0423319__X48__Y42__P002.jpg,0.977800,23.247389,ok
EES0423319__X06__Y0F__P003.jpg,0.876378,21.435169,ok
EES0423319__X06__Y12__P004.jpg,0.946538,23.120656,ok
EES0423319__X06__Y15__P005.jpg,0.669105,22.000992,ok
EES0423319__X06__Y27__P006.jpg,0.713930,21.791639,ok
EES0423319__X06__Y2A__P007.jpg,0.701647,21.257739,ok
EES0423319__X06__Y2D__P008.jpg,0.668068,19.905475,ok
EES0423319__X06__Y30__P009.jpg,0.881928,19.834088,ok
EES0423319__X09__Y33__P010.jpg,0.889130,21.302766,ok
EES0423319__X12__Y3C__P011.jpg,0.968490,25.535105,ok
EES0423319__X18__Y3F__P012.jpg,0.982785,31.092572,ok
EES0423319__X1B__Y03__P013.jpg,0.933289,22.671634,ok
EES0423319__X1B__Y06__P014.jpg,0.589796,19.274155,ok
EES0423319__X1E__Y03__P015.jpg,0.970782,22.296078,ok
EES0423319__X21__Y03__P016.jpg,0.930561,22.235960,ok
EES0423319__X21__Y42__P017.jpg,0.956203,23.732337,ok
EES0423319__X24__Y03__P018.jpg,0.967268,25.760271,ok
EES0423319__X24__Y42__P019.jpg,0.903011,21.260872,ok
EES0423319__X2A__Y06__P020.jpg,0.974923,21.228140,ok
EES0423319__X2D__Y06__P021.jpg,0.980786,29.769237,ok
EES0423319__X48__Y06__P022.jpg,0.982080,25.645184,ok
EES0423319__X48__Y09__P023.jpg,0.856016,21.220841,ok
EES0423319__X48__Y0C__P024.jpg,0.980086,23.020915,ok
EES0423319__X48__Y0F__P025.jpg,0.979262,22.242734,ok
EES0423320__X48__Y12__P001.jpg,0.985601,24.983539,ok
EES0423320__X48__Y15__P002.jpg,0.984733,25.435392,ok
EES0423320__X48__Y18__P003.jpg,0.974691,22.951094,ok
EES0423320__X48__Y1B__P004.jpg,0.523199,13.506863,ok
EES0423320__X48__Y1E__P005.jpg,0.985762,29.014753,ok
EES0423320__X48__Y21__P006.jpg,0.988264,36.270370,ok
EES0423320__X48__Y24__P007.jpg,0.702149,15.075005,ok
EES0423320__X48__Y2A__P008.jpg,0.713081,19.073618,ok
EES0423320__X48__Y2D__P009.jpg,0.693815,15.626205,ok
EES0423320__X48__Y30__P010.jpg,0.977861,23.175834,ok
EES0423320__X48__Y33__P011.jpg,0.948779,23.877459,ok
EES0423320__X48__Y36__P012.jpg,0.973057,23.721222,ok
EES0423320__X48__Y39__P013.jpg,0.985985,29.310530,ok
EES0423320__X48__Y3C__P014.jpg,0.958297,23.356315,ok
EES0423320__X48__Y3F__P015.jpg,0.973390,24.833710,ok
EES0423320__X48__Y42__P016.jpg,0.981503,25.986880,ok
EES0423320__X48__Y45__P017.jpg,0.898789,23.422455,ok
EES0423320__X03__Y33__P018.jpg,0.694950,14.529570,ok
EES0423320__X06__Y33__P019.jpg,0.965866,20.732745,ok
EES0423320__X09__Y36__P020.jpg,0.974369,23.561816,ok
EES0423320__X0C__Y36__P021.jpg,0.914547,20.459481,ok
EES0423320__X39__Y45__P022.jpg,0.974315,23.870181,ok
EES0423320__X45__Y30__P023.jpg,0.961326,22.480638,ok
EES0423320__X48__Y06__P024.jpg,0.907216,22.369855,ok
EES0423320__X48__Y09__P025.jpg,0.511929,12.678272,ok
EES0423321__X48__Y0C__P001.jpg,0.969731,24.163556,ok
EES0423321__X48__Y0F__P002.jpg,0.814966,20.014616,ok
EES0423321__X48__Y12__P003.jpg,0.771586,18.646243,ok
EES0423321__X48__Y15__P004.jpg,0.979974,24.877838,ok
EES0423321__X48__Y1B__P005.jpg,0.977498,25.338720,ok
EES0423321__X48__Y1E__P006.jpg,0.577423,13.189060,ok
EES0423321__X48__Y21__P007.jpg,0.703092,17.462765,ok
EES0423321__X48__Y24__P008.jpg,0.855196,22.156959,ok
EES0423321__X48__Y2A__P009.jpg,0.949726,23.560331,ok
EES0423321__X48__Y2D__P010.jpg,0.973379,23.802979,ok
EES0423321__X48__Y30__P011.jpg,0.948691,23.948887,ok
EES0423321__X48__Y33__P012.jpg,0.964890,23.374290,ok
EES0423321__X48__Y36__P013.jpg,0.834735,20.632592,ok
EES0423321__X48__Y39__P014.jpg,0.845689,19.998545,ok
EES0423321__X1E__Y03__P015.jpg,0.951065,21.640531,ok
EES0423321__X21__Y03__P016.jpg,0.598997,15.315630,ok
EES0423321__X21__Y06__P017.jpg,0.866421,19.968041,ok
EES0423321__X24__Y03__P018.jpg,0.622750,16.446165,ok
EES0423321__X27__Y03__P019.jpg,0.983200,28.396536,ok
EES0423321__X2A__Y03__P020.jpg,0.965830,22.865182,ok
